epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
52,2464.9,0.99289,0.3477,0.00397,0.97724,0.97902,0.99363,0.7487,0.92048,0.27831,0.00413,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,2511.12,1.00338,0.37192,0.00395,0.99516,0.96503,0.99367,0.74781,0.91795,0.2702,0.00417,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,2557.42,0.99628,0.35261,0.0039,0.98476,0.98601,0.99451,0.7412,0.94484,0.26787,0.00443,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,2603.59,0.99573,0.35162,0.00399,0.99261,0.98601,0.99413,0.75158,0.89973,0.25305,0.00411,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,2650.28,0.98802,0.34047,0.00395,0.9719,0.99301,0.99426,0.76728,0.8945,0.26095,0.00413,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,2696.1,0.99586,0.36053,0.00393,0.98422,0.98252,0.99441,0.75925,0.89121,0.26782,0.00406,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,2742.39,0.98148,0.36078,0.00392,0.98027,0.99301,0.99411,0.75364,0.89174,0.25154,0.00417,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,2788.21,0.98714,0.34876,0.00386,0.97557,0.97734,0.99345,0.75544,0.89737,0.2754,0.00405,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,2833.87,0.99828,0.36101,0.00395,0.98946,0.9851,0.9943,0.75966,0.89372,0.26798,0.00408,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,2879.91,0.9851,0.34986,0.00385,0.96538,0.99301,0.99343,0.7509,0.89584,0.29063,0.00415,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,2925.53,0.97729,0.33831,0.00382,0.98178,0.98951,0.99437,0.76169,0.88989,0.25278,0.00406,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,2971.41,0.97004,0.34816,0.00388,0.97576,0.98951,0.99369,0.7525,0.8969,0.2605,0.00407,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,3017.74,0.96782,0.34131,0.0038,0.98609,0.99118,0.99421,0.75177,0.90866,0.28514,0.00421,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,3063.29,0.96552,0.34354,0.0038,0.9819,0.99301,0.9944,0.76442,0.88526,0.28708,0.00405,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,3109.09,0.95432,0.33196,0.00377,0.97586,0.99301,0.99423,0.74817,0.90861,0.2618,0.00412,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,3154.62,0.96014,0.33624,0.00377,0.99766,0.97552,0.99436,0.76064,0.90166,0.29622,0.00419,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,3200.17,0.94981,0.33209,0.00377,0.99298,0.98965,0.99493,0.75584,0.91187,0.25544,0.00408,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,3245.65,0.94367,0.3292,0.00371,0.97275,0.97552,0.99311,0.75142,0.89095,0.28404,0.0041,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
