epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,12563.1,0.95967,0.56045,0.01044,0.97662,0.974,0.9895,0.78425,0.81785,0.2683,0.01304,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,12937,0.95759,0.5633,0.01043,0.97288,0.98111,0.99044,0.78663,0.81669,0.26737,0.01303,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,13289.3,0.95652,0.55786,0.0104,0.97949,0.97391,0.9905,0.78698,0.81599,0.26563,0.01301,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,13556.6,0.95493,0.55782,0.01038,0.97655,0.97852,0.98997,0.78743,0.81324,0.26535,0.01296,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,13772.3,0.95486,0.55829,0.0104,0.97589,0.97841,0.99012,0.78916,0.81283,0.26546,0.01294,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,13988.1,0.95121,0.55351,0.01036,0.97365,0.98158,0.9891,0.79093,0.81238,0.26522,0.01293,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,14201.2,0.95479,0.55448,0.01039,0.97883,0.97682,0.98933,0.78933,0.8125,0.2647,0.01292,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,14413.2,0.94627,0.55754,0.0103,0.97569,0.97908,0.98937,0.79071,0.81219,0.26548,0.0129,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,14625.9,0.95043,0.55158,0.01034,0.97625,0.98131,0.98949,0.79148,0.81121,0.26319,0.01289,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,14839.3,0.94409,0.54668,0.01025,0.9764,0.9807,0.98946,0.79098,0.81073,0.26149,0.01289,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,15053.1,0.94826,0.55442,0.01028,0.97664,0.97974,0.98947,0.79192,0.81075,0.2622,0.01289,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,15265.9,0.94485,0.55079,0.0103,0.97551,0.98133,0.98974,0.7917,0.81025,0.26173,0.01288,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,15479.7,0.94186,0.54963,0.01025,0.9768,0.97925,0.98968,0.79144,0.80967,0.2616,0.01287,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,15693.2,0.9387,0.5469,0.01025,0.97586,0.98156,0.9896,0.79208,0.80914,0.26155,0.01286,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,15906.7,0.93736,0.54868,0.01017,0.97571,0.98238,0.98983,0.79274,0.80895,0.2608,0.01286,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,16120.2,0.93748,0.54685,0.01021,0.97718,0.98145,0.98972,0.79274,0.80928,0.26174,0.01286,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,16333.5,0.93675,0.54214,0.01015,0.97559,0.9831,0.99055,0.79172,0.80905,0.26221,0.01285,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,16546,0.93648,0.54088,0.01018,0.97567,0.98039,0.99059,0.79349,0.80864,0.26346,0.01284,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,16768.3,0.93711,0.54597,0.01017,0.97542,0.9813,0.9906,0.79177,0.80834,0.2628,0.01284,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,17028.4,0.93346,0.54235,0.01013,0.97598,0.98128,0.99063,0.79166,0.80818,0.26201,0.01284,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,17286.7,0.93108,0.53862,0.01008,0.97478,0.98175,0.99048,0.79318,0.80769,0.26264,0.01283,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,17556.9,0.93021,0.53563,0.01005,0.97622,0.98144,0.98967,0.79246,0.80806,0.26269,0.01284,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,17822.1,0.92623,0.53433,0.01002,0.97492,0.9804,0.98977,0.79343,0.80787,0.26209,0.01283,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,18097.5,0.92532,0.53312,0.01004,0.97618,0.98048,0.98983,0.79399,0.80715,0.26211,0.01283,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,18377.5,0.92803,0.53733,0.01004,0.97804,0.97878,0.98978,0.79319,0.80716,0.26185,0.01282,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,18645.6,0.92439,0.53524,0.01001,0.9775,0.98015,0.98978,0.7917,0.807,0.26127,0.01282,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
